,username,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,UniqueID,track_uri
12323,ozdakaac3d5c3izl7tcrrzu7i,240,my strange addiction,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:track:3Tc57t9l2O8FwQZtQOvPXK,Billie Eilish:my strange addiction,3Tc57t9l2O8FwQZtQOvPXK
12324,ozdakaac3d5c3izl7tcrrzu7i,1130,How You Like That,BLACKPINK,THE ALBUM,spotify:track:6bvZRLLkBKkmgpBJTTj3QK,BLACKPINK:How You Like That,6bvZRLLkBKkmgpBJTTj3QK
12325,ozdakaac3d5c3izl7tcrrzu7i,760,Pretty Savage,BLACKPINK,THE ALBUM,spotify:track:28tufPkTcXmdNqTvi9hsoG,BLACKPINK:Pretty Savage,28tufPkTcXmdNqTvi9hsoG
12326,ozdakaac3d5c3izl7tcrrzu7i,810,Crazy Over You,BLACKPINK,THE ALBUM,spotify:track:7bi5vk9KoY6Flkat31ViYD,BLACKPINK:Crazy Over You,7bi5vk9KoY6Flkat31ViYD
12327,ozdakaac3d5c3izl7tcrrzu7i,158810,Typa Girl,BLACKPINK,BORN PINK,spotify:track:3BHR1mJOqn2UZyq98YKPgd,BLACKPINK:Typa Girl,3BHR1mJOqn2UZyq98YKPgd
12328,ozdakaac3d5c3izl7tcrrzu7i,152590,Circus,Britney Spears,Circus (Deluxe Version),spotify:track:7jk7gqyEonmVVYahZN5zhW,Britney Spears:Circus,7jk7gqyEonmVVYahZN5zhW
12329,ozdakaac3d5c3izl7tcrrzu7i,55710,Boyfriend,Dove Cameron,Boyfriend,spotify:track:59CfNbkERJ3NoTXDvoURjj,Dove Cameron:Boyfriend,59CfNbkERJ3NoTXDvoURjj
12330,ozdakaac3d5c3izl7tcrrzu7i,46640,Gangsta,Kehlani,Indie Soul,spotify:track:7eotU4ozCzpln3uI1mBQcP,Kehlani:Gangsta,7eotU4ozCzpln3uI1mBQcP
12331,ozdakaac3d5c3izl7tcrrzu7i,239741,Maneater,Nelly Furtado,Loose,spotify:track:4wH4dJgrsxONID6KS2tDQM,Nelly Furtado:Maneater,4wH4dJgrsxONID6KS2tDQM
12332,ozdakaac3d5c3izl7tcrrzu7i,139538,motive (with Doja Cat),Ariana Grande,Positions,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,Ariana Grande:motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT
